host ->:07/03/2020 14:55:12:INFO: --  New Vm Centos_14 added with IP 13.43.22.23 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm Prod1 added with IP 13.30.22.12 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm Prod2 added with IP 21.43.22.25 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm Prod3 added with IP 65.43.22.94 | with templateid {'templateid': 10001}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm Ubuntu_CI added with IP 10.43.22.27 | with templateid {'templateid': 10047}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm Centos_Paytm added with IP 14.13.42.68 | with templateid {'templateid': 10047}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm H3-LI-YT-001 added with IP 10.43.22.29 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm H3-LI-YT-002 added with IP 10.13.12.10 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm K3-SI-JK-003 added with IP 10.43.22.31 | with templateid {'templateid': 10043}   
host ->:07/03/2020 14:55:12:INFO: --  New Vm O3-JK-RE-004 added with IP 13.23.62.52 | with templateid {'templateid': 10043}   
